health_category,risk_label,silver_label,silver_score,agree,n_rules
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,2.5,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,1.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,1.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,1.0,False,1
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,2.0,False,1
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
diabetes,1,0,0.0,False,0
